school_id,female_grade 1,female_grade 2,female_grade 3,female_grade 4,female_grade 5,female_grade 6,male_grade 1,male_grade 2,male_grade 3,male_grade 4,male_grade 5,male_grade 6,SCH_NAME,PSGC_BRGY
133164,24,45,22,21,27,21,31,42,30,24,21,21,Guinanta/Magcawa ES,PH150709015
133165,20,23,16,25,19,15,16,26,24,21,17,12,Kailih ES,PH150709008
133168,23,21,23,25,17,14,31,30,31,23,13,10,Kuhon Lennuh ES,PH150709011
133170,14,12,17,9,13,8,14,13,17,19,14,7,Linuan ES,PH150709012
133172,7,6,0,0,0,0,6,5,0,0,0,0,Matata P/S,PH150711007
133173,13,16,16,18,13,16,8,17,13,12,18,29,Materling ES,PH150711008
133174,12,12,12,10,16,8,10,11,25,17,13,2,Silangkum ES,PH150706030
133175,8,7,10,15,0,0,17,21,7,7,0,0,Sungkayut ES,PH150711010
133176,102,86,104,130,121,118,118,92,92,152,119,94,Tipo-Tipo CES,PH150706016
133177,38,29,26,30,11,19,37,40,32,25,13,15,Tongbato ES,PH150711011
133178,30,12,9,8,9,9,16,20,8,13,7,7,Ulitan ES,PH150711012
133180,0,0,0,0,0,0,0,0,0,0,0,0,Basakan ES,PH150710001
133181,18,26,12,20,15,12,19,20,15,18,11,14,Bato-Bato ES,PH150708003
133183,27,21,12,14,32,44,22,18,15,19,24,38,Bohepereng ES,PH150710002
133184,24,17,9,16,10,11,21,13,13,20,11,7,Bohetambis ES,PH150707016
133186,14,11,11,21,13,9,5,6,25,14,13,14,Caddayan ES,PH150708001
133187,28,19,18,15,20,20,27,19,23,18,4,18,Calut ES,PH150707034
133188,31,26,34,45,41,54,28,22,32,25,28,30,Candiis ES,PH150710003
133190,12,8,14,9,5,0,11,12,13,2,6,0,Dugaa ES,PH150707021
