osm_id,PSGC_BRGY_LIST,PROV_LIST
103102512,set(),set()
103102513,set(),set()
103102514,set(),set()
103102515,set(),set()
103102516,set(),set()
103102517,set(),set()
103102518,set(),set()
103102519,set(),set()
103102520,set(),set()
103102522,set(),set()
103102523,set(),set()
103104503,{'PH150702045'},{'BASILAN'}
103104508,set(),set()
103104517,set(),set()
103104518,set(),set()
103104520,{'PH150702045'},{'BASILAN'}
103104521,set(),set()
103104526,set(),set()
103104529,set(),set()
103104531,set(),set()
103104532,"{'PH150702037', 'PH150702045', 'PH150702005'}",{'BASILAN'}
103104542,set(),set()
103104552,set(),set()
103130605,set(),set()
133155812,"{'PH150702045', 'PH150702060'}",{'BASILAN'}
133155830,{'PH150702060'},{'BASILAN'}
158001899,"{'PH150702049', 'PH150702005', 'PH150702055', 'PH150702047', 'PH150702059'}",{'BASILAN'}
158001907,set(),set()
158001921,set(),set()
158001924,set(),set()
158001925,set(),set()
158001927,"{'PH150702055', 'PH150702059'}",{'BASILAN'}
158001938,set(),set()
158001939,set(),set()
158001941,{'PH150702055'},{'BASILAN'}
158001958,set(),set()
158001971,set(),set()
238205233,set(),set()
287717644,{'PH150702005'},{'BASILAN'}
287717645,{'PH150702005'},{'BASILAN'}
301621524,set(),set()
301621531,{'PH150703034'},{'BASILAN'}
301621533,"{'PH150702045', 'PH150702060'}",{'BASILAN'}
301621537,"{'PH150703011', 'PH150703034'}",{'BASILAN'}
301621539,"{'PH150703011', 'PH150703034'}",{'BASILAN'}
301621542,set(),set()
158001902,{'PH150702049'},{'BASILAN'}
210935222,{'PH150702065'},{'BASILAN'}
210935230,{'PH150702065'},{'BASILAN'}
210935236,{'PH150702068'},{'BASILAN'}
210935237,"{'PH150707033', 'PH150707040', 'PH150702057'}",{'BASILAN'}
210935253,{'PH150702068'},{'BASILAN'}
210935257,"{'PH150702068', 'PH150702007', 'PH150702004', 'PH150702016'}",{'BASILAN'}
210935264,{'PH150702068'},{'BASILAN'}
210935270,{'PH150702068'},{'BASILAN'}
210935277,"{'PH150702068', 'PH150702066'}",{'BASILAN'}
