PSGC_BRGY,both_student_age_7_to_25,male_student_age_7_to_25,female_student_age_7_to_25,No_of_Schools,Perc_Households_Electricity_Light,Perc_Households_Kerosene_Gass_Light,Perc_Households_Drinking_Owned_Faucet,Perc_Households_Drinking_Shared_Faucet,number_of_roads,Nearest_School,Nearest_School_Distance
PH153802022,719.0,360.0,359.0,1.0,0.028846153846153848,0.0,0.022435897435897436,0.028846153846153848,0,253014,0.08154632842867846
PH153802023,603.0,309.0,294.0,1.0,0.0,0.0,0.0,0.0,0,253014,0.042642319780968996
PH153802025,943.0,429.0,514.0,2.0,0.0353356890459364,0.5335689045936396,0.0035335689045936395,0.0035335689045936395,0,216582,0.0042392123976531726
PH153803008,3540.0,1751.0,1789.0,1.0,0.44235924932975873,0.21000893655049152,0.01966041108132261,0.0,18,133933,0.00646762797684679
PH153803023,647.0,290.0,357.0,1.0,0.49783549783549785,0.354978354978355,0.008658008658008658,0.0,0,216619,0.012397327259729269
PH153803030,3949.0,2081.0,1868.0,3.0,0.015349194167306216,0.14121258633921718,0.0283960092095165,0.0007674597083653108,7,133942,0.012903102857178113
PH153803039,12031.0,6121.0,5910.0,11.0,0.8135165451486259,0.05916993830622546,0.0886146943353898,0.0047672462142456535,68,318307,0.004580786145435728
PH153803040,783.0,391.0,392.0,1.0,0.3354632587859425,0.0670926517571885,0.006389776357827476,0.009584664536741214,3,133944,0.0048118785277441204
PH153803045,892.0,508.0,384.0,4.0,0.37530864197530867,0.15308641975308643,0.23703703703703705,0.1111111111111111,4,133946,0.013444496719539241
PH153803054,961.0,479.0,482.0,,0.6752136752136753,0.2022792022792023,0.002849002849002849,0.002849002849002849,2,133934,0.01191200595237139
PH153805001,620.0,316.0,304.0,2.0,0.3492063492063492,0.48253968253968255,0.0,0.08571428571428572,1,133952,0.00504056179945442
PH153805003,898.0,468.0,430.0,1.0,0.6394984326018809,0.1755485893416928,0.006269592476489028,0.012539184952978056,4,216555,0.007801929371819947
PH153805004,381.0,213.0,168.0,2.0,0.7416666666666667,0.0,0.008333333333333333,0.008333333333333333,7,133954,0.006769245318370112
PH153805006,403.0,212.0,191.0,1.0,0.484472049689441,0.5031055900621118,0.0,0.018633540372670808,1,133957,0.013136661511161272
PH153805007,418.0,213.0,205.0,1.0,0.03867403314917127,0.9613259668508287,0.0,0.0,0,133951,0.01538043665190648
PH153805008,438.0,228.0,210.0,2.0,0.5163398692810458,0.3006535947712418,0.0,0.006535947712418301,5,133958,0.0029105917221125856
PH153805010,308.0,157.0,151.0,1.0,0.152,0.408,0.0,0.0,0,216571,0.0119242310455014
PH153805011,554.0,275.0,279.0,1.0,0.6178010471204188,0.3717277486910995,0.015706806282722512,0.015706806282722512,0,133962,0.01101250724198283
PH153805013,411.0,203.0,208.0,,0.7239263803680982,0.22085889570552147,0.06134969325153374,0.0,5,133961,0.016492908410491565
PH153805014,437.0,232.0,205.0,1.0,0.5578231292517006,0.1836734693877551,0.0,0.0,1,133953,0.01153045660561394
PH153805015,431.0,212.0,219.0,1.0,0.034013605442176874,0.3673469387755102,0.006802721088435374,0.0,0,133957,0.009197047013871305
PH153805016,571.0,296.0,275.0,1.0,0.9905660377358491,0.0,0.0,0.0,3,133948,0.008188456291737338
PH153805017,367.0,193.0,174.0,1.0,0.753731343283582,0.12686567164179105,0.06716417910447761,0.014925373134328358,2,133949,0.014277407698739981
PH153805018,388.0,183.0,205.0,5.0,0.9111111111111111,0.0,0.005555555555555556,0.005555555555555556,0,133962,0.003912514880825169
PH153805019,615.0,328.0,287.0,1.0,0.7589928057553957,0.0539568345323741,0.0,0.02158273381294964,4,133950,0.0017846356544401246
PH153805020,212.0,109.0,103.0,1.0,0.0,0.0,0.0,0.0,0,133961,0.053220806000701844
PH153805021,396.0,196.0,200.0,1.0,0.1836734693877551,0.0,0.0,0.013605442176870748,0,133956,0.00913706916806095
PH153805022,594.0,282.0,312.0,3.0,0.9760765550239234,0.009569377990430622,0.06220095693779904,0.023923444976076555,3,216591,0.0076314934302279
PH153805023,359.0,164.0,195.0,1.0,0.017543859649122806,0.6578947368421053,0.0,0.0,0,216656,0.020377165506414167
PH153805024,340.0,184.0,156.0,,0.018691588785046728,0.0,0.0,0.0,0,216571,0.023658694448692934
PH153805025,406.0,196.0,210.0,1.0,0.6878980891719745,0.2802547770700637,0.0,0.006369426751592357,7,133959,0.006519787054379356
PH153805026,2097.0,1029.0,1068.0,3.0,0.9600456621004566,0.03538812785388128,0.00228310502283105,0.001141552511415525,34,133951,0.0009161012479006329
PH153805027,419.0,216.0,203.0,1.0,0.6640625,0.3125,0.0,0.0,2,133961,0.009972469551713655
PH153806001,389.0,191.0,198.0,1.0,0.3971631205673759,0.6028368794326241,0.03546099290780142,0.04964539007092199,1,133978,0.013551408171017798
PH153806002,285.0,139.0,146.0,1.0,1.0,0.0,0.0,0.0,1,133974,0.018040667894260242
PH153806005,426.0,204.0,222.0,1.0,1.0,0.0,0.0,0.006329113924050633,1,216528,0.011709448035333275
PH153806006,257.0,126.0,131.0,3.0,0.9880952380952381,0.0,0.0,0.011904761904761904,2,133964,0.016309879615813327
PH153806008,1456.0,729.0,727.0,4.0,0.9767441860465116,0.012684989429175475,0.012684989429175475,0.014799154334038054,13,133970,0.008949515894806833
PH153806010,459.0,242.0,217.0,1.0,0.9938650306748467,0.0,0.012269938650306749,0.049079754601226995,1,133980,0.01662165497131388
PH153806011,157.0,80.0,77.0,2.0,0.8,0.06666666666666667,0.0,0.0,7,133967,0.00632849077072042
PH153806015,740.0,387.0,353.0,1.0,0.8416289592760181,0.0,0.0,0.00904977375565611,3,133966,0.011395423959950163
PH153806021,320.0,167.0,153.0,1.0,0.9626865671641791,0.03731343283582089,0.007462686567164179,0.007462686567164179,1,133980,0.015397375363134404
PH153806025,238.0,117.0,121.0,,0.5154639175257731,0.44329896907216493,0.18556701030927836,0.030927835051546393,2,216528,0.014013587911365786
PH153806028,388.0,180.0,208.0,2.0,0.873015873015873,0.031746031746031744,0.0,0.03968253968253968,3,133977,0.004082671119649651
PH153806029,173.0,100.0,73.0,1.0,0.979381443298969,0.0,0.0,0.020618556701030927,1,133978,0.014882029633895802
PH153806030,183.0,93.0,90.0,2.0,0.9310344827586207,0.0,0.0,0.0,1,133964,0.01869369006564873
PH153806034,4666.0,2317.0,2349.0,5.0,0.973565441650548,0.016763378465506126,0.03417150225660864,0.025789813023855575,15,216608,0.004122408088198068
PH153806035,547.0,269.0,278.0,1.0,0.7125,0.175,0.06875,0.3375,2,133967,0.01731186164079836
PH153806039,1104.0,570.0,534.0,1.0,0.960377358490566,0.033962264150943396,0.0037735849056603774,0.018867924528301886,11,318320,0.0027490188130538944
PH153807001,554.0,270.0,284.0,1.0,0.9244444444444444,0.0,0.0,0.02666666666666667,3,134009,0.0030829914061314342
PH153807002,4623.0,2321.0,2302.0,12.0,0.8836438923395445,0.11055900621118013,0.5151138716356107,0.1565217391304348,77,134008,0.003698834136740132
PH153807003,677.0,357.0,320.0,1.0,0.6290322580645161,0.1478494623655914,0.04838709677419355,0.40053763440860213,3,133995,0.024844020055100367
PH153807004,936.0,531.0,405.0,3.0,0.6330275229357798,0.06422018348623854,0.0030581039755351682,0.0061162079510703364,8,134012,0.01028046833998337
PH153807005,1131.0,545.0,586.0,1.0,0.6078838174273858,0.0995850622406639,0.05394190871369295,0.08298755186721991,1,134011,0.0087338357164628
PH153807006,695.0,389.0,306.0,2.0,0.18209876543209877,0.21604938271604937,0.0,0.0030864197530864196,3,134018,0.001527315286646832
PH153807007,569.0,231.0,338.0,1.0,0.7731958762886598,0.21649484536082475,0.005154639175257732,0.6701030927835051,1,133987,0.007732566918193625
PH153807008,824.0,429.0,395.0,1.0,0.8870967741935484,0.0032258064516129032,0.0064516129032258064,0.0,1,216664,0.0036847126241844838
PH153807009,877.0,410.0,467.0,3.0,0.7215568862275449,0.10479041916167664,0.0029940119760479044,0.3143712574850299,4,134013,0.0025400729551595044
PH153807010,1208.0,570.0,638.0,4.0,0.9323583180987203,0.06581352833638025,0.2760511882998172,0.6745886654478976,31,133990,0.010336447110751972
PH153807011,657.0,293.0,364.0,,0.7668997668997669,0.055944055944055944,0.04428904428904429,0.004662004662004662,5,134015,0.014893753988907216
PH153807013,6536.0,3056.0,3480.0,2.0,0.8772496538994001,0.07383479464697738,0.015689893862482696,0.007844946931241348,54,326503,0.00517311098346243
PH153807014,1591.0,760.0,831.0,3.0,0.9732283464566929,0.009448818897637795,0.026771653543307086,0.012598425196850394,14,134003,0.007360217825761348
PH153807015,388.0,186.0,202.0,2.0,0.5163398692810458,0.28104575163398693,0.1503267973856209,0.0457516339869281,1,133987,0.006240260691572881
PH153807017,218.0,90.0,128.0,1.0,0.028169014084507043,0.0,0.0,0.04225352112676056,0,134205,0.02036478602336884
PH153807018,570.0,297.0,273.0,1.0,0.6325581395348837,0.20465116279069767,0.0,0.004651162790697674,5,134016,0.008201453848992688
PH153807019,829.0,433.0,396.0,1.0,0.986,0.008,0.464,0.118,4,134017,0.008642467373330107
PH153807020,778.0,380.0,398.0,2.0,0.7719298245614035,0.17192982456140352,0.0,0.17543859649122806,6,324303,0.01605545075209445
PH153807021,1153.0,584.0,569.0,3.0,0.5108910891089109,0.3207920792079208,0.0019801980198019802,0.007920792079207921,4,133997,0.004850098628854165
PH153807022,776.0,396.0,380.0,1.0,0.8520710059171598,0.07692307692307693,0.0,0.0,1,133995,0.026630546871822074
PH153807023,1781.0,862.0,919.0,1.0,0.6596701649175413,0.24437781109445278,0.10944527736131934,0.3073463268365817,14,216602,0.005951160773522428
PH153807024,615.0,294.0,321.0,1.0,0.9542682926829268,0.036585365853658534,0.0,0.0,2,134001,0.010358456299219065
PH153807025,670.0,387.0,283.0,2.0,0.8892128279883382,0.04664723032069971,0.0029154518950437317,0.0,7,134018,0.009649086265651382
PH153807026,626.0,300.0,326.0,2.0,0.7472924187725631,0.08303249097472924,0.02527075812274368,0.02527075812274368,4,134002,0.02147127701045375
PH153807027,599.0,242.0,357.0,1.0,0.9027777777777778,0.09722222222222222,0.004629629629629629,0.041666666666666664,0,134020,0.011080715157739845
PH153807028,2473.0,1166.0,1307.0,2.0,0.9845559845559846,0.012548262548262547,0.29343629343629346,0.22683397683397682,28,305021,0.005452991709358756
PH153807029,591.0,318.0,273.0,1.0,0.21238938053097345,0.022123893805309734,0.0,0.0,5,134021,0.011977778187528616
PH153807030,605.0,324.0,281.0,1.0,0.06666666666666667,0.07222222222222222,0.0,0.0,4,134019,0.017783468408443446
PH153807031,369.0,176.0,193.0,,0.8959537572254336,0.09248554913294797,0.09826589595375723,0.8670520231213873,1,318331,0.00789049879440215
PH153807032,4179.0,2204.0,1975.0,2.0,0.9918136020151134,0.005667506297229219,0.8683879093198993,0.11586901763224182,16,408666,0.007130872681481246
PH153807033,703.0,342.0,361.0,1.0,0.9638989169675091,0.02888086642599278,0.19855595667870035,0.48375451263537905,2,134005,0.0016032507701101298
PH153807034,973.0,522.0,451.0,1.0,0.7612359550561798,0.0028089887640449437,0.0056179775280898875,0.0056179775280898875,8,134006,0.011700278436800115
PH153807035,1231.0,608.0,623.0,3.0,0.9975308641975309,0.0024691358024691358,0.0,0.0024691358024691358,7,476522,0.013654229614347995
PH153807036,493.0,240.0,253.0,1.0,0.0,0.031914893617021274,0.0,0.0,1,134016,0.03002523313330304
PH153808002,997.0,498.0,499.0,,0.6848137535816619,0.05157593123209169,0.04011461318051576,0.022922636103151862,12,318323,0.018491569568221792
