ELEM_POPN,Pred_school_num,PSGC_BRGY
117.0,1.0,PH153638013
79.0,1.0,PH153638018
204.0,1.0,PH153638024
284.0,1.0,PH153638026
110.0,1.0,PH153638027
81.0,1.0,PH153638029
87.0,1.0,PH153638041
104.0,1.0,PH153638042
133.0,1.0,PH153639002
173.0,1.0,PH153639005
114.0,1.0,PH153639006
314.0,1.0,PH153639012
162.0,1.0,PH153639013
132.0,1.0,PH153639015
338.0,1.0,PH153640002
137.0,1.0,PH153641002
182.0,1.0,PH153641004
128.0,1.0,PH153641005
258.0,1.0,PH153801011
743.0,2.0,PH153801035
445.0,1.0,PH153803054
165.0,1.0,PH153805013
254.0,1.0,PH153805016
254.0,1.0,PH153807011
110.0,1.0,PH153807017
388.0,1.0,PH153808002
394.0,1.0,PH153808004
329.0,1.0,PH153808011
237.0,1.0,PH153808023
190.0,1.0,PH153808038
810.0,2.0,PH153808046
406.0,1.0,PH153809008
155.0,1.0,PH153811029
310.0,1.0,PH153811031
96.0,1.0,PH153811034
1141.0,2.0,PH153812009
147.0,1.0,PH153812016
968.0,2.0,PH153812020
385.0,1.0,PH153812028
118.0,1.0,PH153812030
193.0,1.0,PH153812031
182.0,1.0,PH153812034
204.0,1.0,PH153812043
236.0,1.0,PH153812052
136.0,1.0,PH153814011
73.0,1.0,PH153814015
288.0,1.0,PH153814017
180.0,1.0,PH153816005
219.0,1.0,PH153816008
212.0,1.0,PH153816009
153.0,1.0,PH153816014
359.0,1.0,PH153816018
340.0,1.0,PH153816025
652.0,2.0,PH153816036
180.0,1.0,PH153816038
95.0,1.0,PH153819018
210.0,1.0,PH153820001
350.0,1.0,PH153820002
286.0,1.0,PH153820003
279.0,1.0,PH153820004
112.0,1.0,PH153820006
364.0,1.0,PH153825003
210.0,1.0,PH153825005
362.0,1.0,PH153825006
216.0,1.0,PH153825010
117.0,1.0,PH153827001
283.0,1.0,PH153827005
188.0,1.0,PH153827008
94.0,1.0,PH153827010
608.0,2.0,PH153829003
479.0,1.0,PH153832003
541.0,1.0,PH153832006
581.0,1.0,PH153832007
544.0,1.0,PH153833005
646.0,2.0,PH153835003
442.0,1.0,PH153835011
146.0,1.0,PH153836001
25.0,1.0,PH153836003
